chair 's message nan nan 2001|fact division chair 's message ak gupta  d mahr nan nan|0
designing and mining multi-terabyte astronomy archives : the sloan digital sky survey a szalay  p kunszt  a thakar  j gray  d slutz sigmod conference 2000|designing and mining multi-terabyte astronomy archives a szalay  j gray  p kunszt  a thakar sigmod conference  nan|1
supporting incremental join queries on ranked inputs a natsev  y chang  j smith  c li  j vitter vldb 2001|supporting top-k join queries in relational databases if ilyas  wg aref  ak elmagarmid the vldb journal  2004.0|0
database architecture optimized for the new bottleneck : memory access p boncz  s manegold  m kersten vldb 1999|optimizing database architecture for the new bottleneck : memory access s manegold  pa boncz  ml kersten the vldb journal the international journal on very large & hellip ;  2000.0|1
declarative updates of relational databases w chen acm trans . database syst . 1995|simple random sampling from relational databases f olken vldb  1986.0|0
similarity based retrieval of pictures using indices on spatial relationships a sistla  c yu  c liu  k liu vldb 1995|retrieval of pictures using a similarity based approach employing indices on spatial relationships ap sistla  c yu nan nan|1
languages for multi-database interoperability f gingras  l lakshmanan  i subramanian  d papoulis  n shiri sigmod conference 1997|schemasql-a language for interoperability in relational multi-database systems lvs lakshmanan vldb  1996.0|0
the whips prototype for data warehouse creation and maintenance w labio  y zhuge  j wiener  h gupta  h garcia-molina  j widom sigmod conference 1997|the whips prototype for data warehouse creation and maintenance j wiener  h gupta  w labio  y zhuge  h garcia - proceedings of the international conference on data & hellip ;  1997.0|1
magic conditions i mumick  s finkelstein  h pirahesh  r ramakrishnan acm trans . database syst . 1996|magic conditions is mumick  sj finkelstein  h pirahesh  r acm transactions on database systems ( tods )  1996.0|1
control strategies for complex relational query processing in shared nothing systems l brunie  h kosch sigmod record 1996|query processing strategies in the pascal/r relational database management system m jarke  jw schmidt proceedings of the 1982 acm sigmod international conference & hellip ;  1982.0|0
parallel mining algorithms for generalized association rules with classification hierarchy t shintani  m kitsuregawa sigmod conference 1998|mining generalized association rules r srikant  r agrawal nan 1995.0|0
issues in data stream management l golab  m zsu sigmod record 2003|mt zsu . issues in data stream management l golab sigmod rec  nan|1
disjunctive datalog t eiter  g gottlob  h mannila acm trans . database syst . 1997|disjunctive datalog t eiter  g gottlob  h mannila acm transactions on database systems  1997.0|1
the design and implementation of a sequence database system p seshadri  m livny  r ramakrishnan vldb 1996|the implementation and performance of compressed databases . 1998 t westmann  d kossmann  s helmer  g moerkotte submitted for nan|0
oracle media server : providing consumer based interactive access to multimedia data a laursen  j olkin  m porter sigmod conference 1994|oracle media server providing consumer based interactive access to multimedia data . l andrew  j olkin  m porter nan nan|1
query execution techniques for caching expensive methods j hellerstein  j naughton sigmod conference 1996|query execution techniques for caching expensive methods jm hellerstein  jf naughton sigmod conference  1996.0|1
simultaneous optimization and evaluation of multiple dimensional queries y zhao  p deshpande  j naughton  a shukla sigmod conference 1998|simultaneous optimization and evaluation of multiple dimension queries y zhao  pm deshpande  jf naughton  a shukla proc . acm-sigmod  nan|1
a foundation for multi-dimensional databases m gyssens  l lakshmanan vldb 1997|multidimensional version for object-oriented databases e sciore proceedings vldb  nan|0
integrating information for on demand computing n mattos vldb 2003|yield management for on demand computing services l wynter  z liu  p dube nan nan|0
snakes and sandwiches : optimal clustering strategies for a data warehouse h jagadish  l lakshmanan  d srivastava sigmod conference 1999|snakes and sandwiches : optimal clustering strategies for a data warehouse hvjlvs lakshmanan  d srivastava proceedings of acm sigmod international conference on nan|1
highly concurrent cache consistency for indices in client-server database systems m zaharioudakis  m carey sigmod conference 1997|'' system level concurrency control for database systems dj rosenkrantz  rd stearns  pm lewis acm tods  v  nan|0
maintaining database consistency in presence of value dependencies in multidatabase systems c morpain  m cart  j ferri  j pons sigmod conference 1996|multi-valued dependencies in the presence of lists s hartmann  s link nan nan|0
iterative dynamic programming : a new class of query optimization algorithms d kossmann  k stocker acm trans . database syst . 2000|sql query optimization : reordering for a general class of queries p goel  b iyer sigmod conference  1996.0|0
novel approaches in query processing for moving object trajectories d pfoser  c jensen  y theodoridis vldb 2000|novel approaches in query processing for moving object trajectories d pfoser  cs jensen  y theodoridis proceedings of the 26th international conference on very & hellip ;  2000.0|1
asset : a system for supporting extended transactions a biliris  s dar  n gehani  h jagadish  k ramamritham sigmod conference 1994|aformalism for extended transaction models pkck ramamritam proc . of 17th vldb conference  nan|0
mapping data in peer-to-peer systems : semantics and algorithmic issues a kementsietsidis  m arenas  r miller sigmod conference 2003|data mapping in p2p systems : semantics and algorithmic issues a kementsietsidis  m arenas  rj miller nan 2003.0|1
building knowledge base management systems j mylopoulos  v chaudhri  d plexousakis  a shrufi  t topaloglou vldb j. 1996|case for output management systems . k schwaber computerworld.  1981.0|0
query processing in tertiary memory databases s sarawagi vldb 1995|query processing in a distributed relational database system r epstein  m stonebraker  e wong proceedings of the acm sigmod conference on management of & hellip ;  nan|0
workflow automation : applications  technology  and research ( tutorial ) nan nan 1995|workflow automation : applications a sheth & hellip ; and research &#39; &#39; tutorial notes from sigmod conference  may  nan|1
deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis n krivokapic  a kemper  e gudes vldb j. 1999|performance comparison of distributed deadlock detection algorithms . o bukhres nan nan|0
editor 's notes m franklin sigmod record 1999|editors ' notes c knapper  s piccinin new directions for teaching and learning  nan|0
crawling the hidden web s raghavan  h garcia-molina vldb 2001|untangling the web r wallach  l mccann santa barbara : university of california  santa barbara  ( 1996 ) nan|0
